t, xpos, ypos
0.281000,0.649351,0.544414
0.282000,0.651780,0.541362
0.283000,0.654210,0.538304
0.284000,0.656641,0.535240
0.285000,0.659072,0.532170
0.286000,0.661504,0.529094
0.287000,0.663937,0.526011
0.288000,0.666371,0.522922
0.289000,0.668806,0.519828
0.290000,0.671242,0.516727
0.291000,0.673678,0.513621
0.292000,0.676115,0.510509
0.293000,0.678553,0.507391
0.294000,0.680992,0.504267
0.295000,0.683431,0.501138
0.296000,0.685871,0.498003
0.297000,0.688312,0.494862
0.298000,0.690754,0.491717
0.299000,0.693197,0.488565
0.300000,0.695640,0.485409
0.301000,0.698084,0.482247
0.302000,0.700529,0.479080
0.303000,0.702975,0.475908
0.304000,0.705421,0.472731
0.305000,0.707868,0.469549
0.306000,0.710316,0.466361
0.307000,0.712765,0.463169
0.308000,0.715214,0.459973
0.309000,0.717664,0.456771
0.310000,0.720115,0.453565
0.311000,0.722567,0.450354
0.312000,0.725019,0.447138
0.313000,0.727472,0.443918
0.314000,0.729925,0.440694
0.315000,0.732380,0.437465
0.316000,0.734835,0.434232
0.317000,0.737291,0.430995
0.318000,0.739747,0.427753
0.319000,0.742204,0.424508
0.320000,0.744662,0.421258
0.321000,0.747120,0.418005
0.322000,0.749579,0.414747
0.323000,0.752039,0.411486
0.324000,0.754500,0.408220
0.325000,0.756961,0.404952
0.326000,0.759423,0.401679
0.327000,0.761885,0.398403
0.328000,0.764348,0.395123
0.329000,0.766812,0.391840
0.330000,0.769276,0.388554
0.331000,0.771741,0.385264
0.332000,0.774207,0.381971
0.333000,0.776673,0.378675
0.334000,0.779139,0.375375
0.335000,0.781607,0.372073
0.336000,0.784075,0.368767
0.337000,0.786543,0.365459
0.338000,0.789013,0.362148
0.339000,0.791482,0.358834
0.340000,0.793953,0.355517
0.341000,0.796423,0.352198
0.342000,0.798895,0.348876
0.343000,0.801367,0.345552
0.344000,0.803839,0.342225
0.345000,0.806312,0.338896
0.346000,0.808786,0.335564
0.347000,0.811260,0.332230
0.348000,0.813735,0.328894
0.349000,0.816210,0.325556
0.350000,0.818686,0.322216
0.351000,0.821162,0.318874
0.352000,0.823639,0.315530
0.353000,0.826116,0.312184
0.354000,0.828594,0.308836
0.355000,0.831072,0.305487
0.356000,0.833551,0.302136
0.357000,0.836030,0.298784
0.358000,0.838509,0.295430
0.359000,0.840989,0.292074
0.360000,0.843470,0.288717
0.361000,0.845951,0.285359
0.362000,0.848432,0.282000
0.363000,0.850914,0.278640
0.364000,0.853396,0.275278
0.365000,0.855879,0.271916
0.366000,0.858362,0.268552
0.367000,0.860846,0.265188
0.368000,0.863330,0.261823
0.369000,0.865814,0.258457
0.370000,0.868299,0.255091
0.371000,0.870784,0.251724
0.372000,0.873269,0.248356
0.373000,0.875755,0.244988
0.374000,0.878241,0.241620
0.375000,0.880728,0.238251
0.376000,0.883215,0.234882
0.377000,0.885702,0.231513
0.378000,0.888189,0.228144
0.379000,0.890677,0.224774
0.380000,0.893165,0.221405
0.381000,0.895654,0.218036
0.382000,0.898143,0.214667
0.383000,0.900632,0.211299
0.384000,0.903121,0.207930
0.385000,0.905611,0.204562
0.386000,0.908101,0.201195
0.387000,0.910591,0.197828
0.388000,0.913081,0.194461
0.389000,0.915572,0.191096
0.390000,0.918063,0.187731
0.391000,0.920554,0.184367
0.392000,0.923045,0.181004
0.393000,0.925537,0.177641
0.394000,0.928029,0.174280
0.395000,0.930521,0.170920
0.396000,0.933013,0.167561
0.397000,0.935506,0.164203
0.398000,0.937998,0.160847
0.399000,0.940491,0.157492
0.400000,0.942984,0.154138
0.401000,0.945477,0.150786
0.402000,0.947970,0.147435
0.403000,0.950463,0.144087
0.404000,0.952957,0.140739
0.405000,0.955451,0.137394
0.406000,0.957944,0.134051
0.407000,0.960438,0.130709
0.408000,0.962932,0.127370
0.409000,0.965426,0.124032
0.410000,0.967920,0.120697
0.411000,0.970415,0.117364
0.412000,0.972909,0.114033
0.413000,0.975403,0.110705
0.414000,0.977898,0.107379
0.415000,0.980392,0.104056
0.416000,0.982886,0.100735
0.417000,0.985381,0.097417
0.418000,0.987875,0.094101
0.419000,0.990370,0.090789
0.420000,0.992864,0.087479
0.421000,0.995359,0.084172
0.422000,0.997853,0.080868
0.423000,1.000348,0.077567
0.424000,1.002842,0.074270
0.425000,1.005336,0.070975
0.426000,1.007831,0.067684
0.427000,1.010325,0.064396
0.428000,1.012819,0.061112
0.429000,1.015313,0.057831
0.430000,1.017807,0.054554
0.431000,1.020301,0.051280
0.432000,1.022795,0.048010
0.433000,1.025288,0.044744
0.434000,1.027782,0.041481
0.435000,1.030275,0.038223
0.436000,1.032768,0.034968
0.437000,1.035261,0.031718
0.438000,1.037754,0.028472
0.439000,1.040247,0.025230
0.440000,1.042739,0.021992
0.441000,1.045232,0.018758
0.442000,1.047724,0.015529
0.443000,1.050216,0.012304
0.444000,1.052708,0.009084
0.445000,1.055199,0.005869
0.446000,1.057690,0.002658
0.447000,1.060181,-0.000548
0.448000,1.062672,-0.003749
0.449000,1.065162,-0.006946
0.450000,1.067652,-0.010137
